Motor 1,Motor 2,Motor 3,X,Y,Z
9,5,1,-9.358,16.309,-282.362
9,5,2,-7.039,14.993,-283.105
9,5,3,-4.707,13.667,-283.825
9,5,4,-2.36,12.333,-284.520
9,5,5,0,10.989,-285.191
0,9,0,-20.887,-12.059,-278.370
0,9,1,-18.624,-13.416,-279.062
0,9,2,-16.346,-14.78,-279.731
0,9,3,-14.053,-16.15,-280.377
0,9,4,-11.747,-17.526,-280.998
0,9,5,-9.426,-18.908,-281.595
1,9,0,-20.93,-9.42,-279.062
1,9,1,-18.663,-10.775,-279.770
1,9,2,-16.38,-12.136,-280.453
1,9,3,-14.083,-13.504,-281.114
1,9,4,-11.771,-14.878,-281.750
1,9,5,-9.445,-16.259,-282.362
2,9,0,-20.973,-6.766,-279.731
2,9,1,-18.7,-8.118,-280.453
2,9,2,-16.413,-9.476,-281.152
2,9,3,-14.112,-10.842,-281.827
2,9,4,-11.795,-12.214,-282.478
2,9,5,-9.465,-13.593,-283.105
3,9,0,-21.013,-4.096,-280.377
3,9,1,-18.736,-5.444,-281.114
3,9,2,-16.445,-6.8,-281.827
3,9,3,-14.139,-8.163,-282.517
3,9,4,-11.818,-9.533,-283.183
3,9,5,-9.483,-10.91,-283.825
4,9,0,-21.051,-1.41,-280.998
4,9,1,-18.771,-2.755,-281.750
4,9,2,-16.475,-4.108,-282.478
4,9,3,-14.165,-5.468,-283.183
4,9,4,-11.84,-6.836,-283.864
4,9,5,-9.5,-8.21,-284.520
5,9,0,-21.088,1.291,-281.595
5,9,1,-18.803,-0.051,-282.362
5,9,2,-16.504,-1.4,-283.105
5,9,3,-14.19,-2.758,-283.825
5,9,4,-11.861,-4.122,-284.520
5,9,5,-9.517,-5.495,-285.191
0,0,9,20.887,-12.059,-278.370
0,1,9,18.624,-13.416,-279.062
